Country,GDP,Population,GDP_Per_Capita,Region,Life_Expectancy,Mean Years of Schooling,Development Status
Belize,2824,400000.0,7060,Americas,74.0,9.2,Developing
Curaçao,2700,,0,Americas,78.0,11.2,Developed
Lesotho,2553,2200000.0,1160,Africa,54.0,5.8,Developing
Bhutan,2540,770000.0,3298,South-East Asia,71.0,3.1,Developing
Central African Republic,2383,4800000.0,496,Africa,53.0,4.2,Developing
Cabo Verde,2315,560000.0,4133,Africa,73.0,5.5,Developing
"Gambia, The",2273,,0,Africa,61.0,2.8,Developing
St. Lucia,2065,180000.0,11472,Americas,76.0,9.0,Developing
San Marino,1855,34000.0,54558,Europe,83.0,12.1,Developed
Antigua and Barbuda,1758,98000.0,17938,Americas,76.0,9.0,Developing
Guinea-Bissau,1634,2000000.0,817,Africa,58.0,2.9,Developing
Solomon Islands,1596,700000.0,2280,Western Pacific,73.0,4.5,Developing
Seychelles,1588,98000.0,16204,Africa,73.0,9.4,Developing
Sint Maarten (Dutch part),1572,,0,Americas,78.0,11.3,Developed
Grenada,1256,110000.0,11418,Americas,72.0,8.6,Developing
Comoros,1243,870000.0,1428,Africa,64.0,3.8,Developing
Turks and Caicos Islands,1139,38000.0,29973,Americas,80.0,11.4,Developed
Vanuatu,984,310000.0,3174,Western Pacific,70.0,6.6,Developing
St. Kitts and Nevis,962,53000.0,18150,Americas,76.0,9.5,Developing
St. Vincent and the Grenadines,949,110000.0,8627,Americas,72.0,8.4,Developing
Northern Mariana Islands,858,57000.0,15052,Western Pacific,76.0,11.5,Developed
Samoa,832,200000.0,4160,Western Pacific,73.0,10.3,Developing
American Samoa,709,55000.0,12890,Western Pacific,75.0,11.2,Developed
Dominica,612,72000.0,8500,Americas,75.0,8.7,Developing
São Tomé and Principe,547,,0,Africa,70.0,4.9,Developing
Tonga,469,,0,Western Pacific,70.0,10.9,Developing
"Micronesia, Fed. Sts.",427,,0,Western Pacific,67.0,9.0,Developing
Marshall Islands,280,,0,Western Pacific,73.0,10.0,Developing
Kiribati,223,,0,Western Pacific,68.0,10.8,Developing
Palau,218,,0,Western Pacific,73.0,12.4,Developed
Nauru,151,,0,Western Pacific,67.0,10.0,Developing
Tuvalu,60,,0,Western Pacific,66.0,11.0,Developing
Venezuela,482400,28000000.0,17228,Americas,76.0,7.3,Developing
Central African Rep.,2500,4800000.0,520,Africa,53.0,4.2,Developing
Dem. Rep. Congo,55000,90000000.0,611,Africa,60.0,6.0,Developing
Gabon,20220,2200000.0,9190,Africa,66.0,7.8,Developing
Gabon,20220,2200000.0,9190,Africa,66.0,7.8,Developing
Gabon,20220,2200000.0,9190,Africa,66.0,7.8,Developing
Gabon,20220,2200000.0,9190,Africa,66.0,7.8,Developing
Gabon,20220,2200000.0,9190,Africa,66.0,7.8,Developing
Gabon,20220,2200000.0,9190,Africa,66.0,7.8,Developing
Gabon,20220,2200000.0,9190,Africa,66.0,7.8,Developing
Gabon,20220,2200000.0,9190,Africa,66.0,7.8,Developing
Gabon,20220,2200000.0,9190,Africa,66.0,7.8,Developing
